Species,groups_new,groups_old,functional_name,Diet,TrophicLevel,MaxSizeTL,ReefPosition,FeedingType,Solitary,Schooling,Shoaling,Cluster,PC1,PC2
Halichoeres semicinctus,group4,group4,Crip_schooling,Carnivoro,3.2,40,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.10600326320544316,-0.08385429153775095
Heteropriacanthus cruentatus,group4,group4,Crip_schooling,Carnivoro,3.7,35,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.36398097829756215,0.10309148534858699
Holacanthus clarionensis,group3,group3,Crip_solitary,Herbivoro,2.64,30,reef-associated,hunting macrofauna (predator),0,1,0,7,1.1043257582574384,-1.052445032434335
Holacanthus passer,group2,group2,EpiBent_schooling,Herbivoro,3,80,reef-associated,variable,0,1,0,7,1.9607904331242902,-1.1869080922144757
Hoplopagrus guentherii,group5,group5,GenPred_solitary,Piscivoro,3.85,120,reef-associated,hunting macrofauna (predator),1,0,0,6,-2.1432991308157874,-0.6008117175541035
Hyporthodus acanthistius,group5,group6,GenPred_solitary,Piscivoro,4.09,60,demersal,hunting macrofauna (predator),1,0,0,1,-2.7715205587263605,0.039644897926541425
Johnrandallia nigrirostris,group3,group3,Crip_solitary,Carnivoro,2.9,60,reef-associated,variable,0,1,0,7,1.409295335841638,-0.34983837367037945
Kyphosus azureus,group2,group3,EpiBent_schooling,Herbivoro,2,40,benthopelagic,browsing on substrate,0,1,0,7,1.8018540588759913,-0.9328813959075637
Kyphosus elegans,group2,group2,EpiBent_schooling,Herbivoro,2.9,60,reef-associated,variable,0,1,0,7,2.1950190402255356,-1.1581716884145017
Kyphosus ocyurus,group6,group6,Pelagic,Carnivoro,3.5,55,pelagic-oceanic,hunting macrofauna (predator),0,1,0,7,-0.9903190705176796,1.0311258848391405
Kyphosus vaigiensis,group2,group2,EpiBent_schooling,Herbivoro,2,80,reef-associated,variable,0,1,0,7,2.563713989062253,-1.5293112844741794
Lutjanus aratus,group4,group4,GenPred_schooling,Piscivoro,4.1,60,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.7205348409427015,0.25467181293772434
Lutjanus argentiventris,group4,group4,GenPred_schooling,Piscivoro,4.1,85,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.9379551553270133,0.17595090915529368
Lutjanus guttatus,group4,group4,GenPred_schooling,Piscivoro,3.8,45,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.4092055855307255,0.19918339752927175
Lutjanus inermis,group4,group4,Crip_schooling,Carnivoro,3.83,45,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.529329166323222,0.11611553882937621
Lutjanus novemfasciatus,group5,group5,GenPred_solitary,Piscivoro,4.2,170,reef-associated,hunting macrofauna (predator),0,1,0,3,-2.73747657982747,-0.05745984447900004
Lutjanus viridis,group4,group4,Crip_schooling,Carnivoro,3.6,55,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.47762487421121524,0.005874443096672049
Melichthys niger,group2,group3,EpiBent_schooling,Carnivoro,2.7,40,reef-associated,grazing on aquatic plants,0,1,0,2,1.8438882219034838,-1.0896082299179448
Microlepidotus brevipinnis,group2,group3,EpiBent_schooling,Herbivoro,2,35,reef-associated,hunting macrofauna (predator),0,1,0,7,1.4467127711808727,-1.2873272562370317
Microlepidotus inornatus,group2,group3,EpiBent_schooling,Herbivoro,2,40,reef-associated,hunting macrofauna (predator),0,1,0,7,1.40322870830401,-1.303071436993518
Microspathodon bairdii,group3,group2,Crip_solitary,Herbivoro,3,45,reef-associated,grazing on aquatic plants,1,0,0,2,2.3535643722939024,-2.3919173310897106
Microspathodon dorsalis,group3,group3,Crip_solitary,Herbivoro,3.3,90,reef-associated,grazing on aquatic plants,1,0,0,2,1.7813307396207527,-2.4308940002201744
Mugil cephalus,group2,group2,EpiBent_schooling,Herbivoro,2,55,benthopelagic,variable,0,1,0,7,2.270019894830698,-1.1868496863267377
Mugil curema,group2,group2,EpiBent_schooling,Herbivoro,2,30,reef-associated,grazing on aquatic plants,0,1,0,2,3.1386265411976804,-2.1061354177308873
